symbol,sentiment,score,explanation,timestamp,note,news_title,news_date,news_source
BVH,positive,0.63,Văn bản chứa nhiều từ khóa tích cực về BVH,2025-04-13 22:14:02,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
CTG,positive,0.7,Văn bản chứa nhiều từ khóa tích cực về CTG,2025-04-13 22:14:03,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
CTG,neutral,0.19,Văn bản có nội dung trung tính hoặc không rõ ràng về CTG,2025-04-13 22:14:04,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
CTG,neutral,0.11,Văn bản có nội dung trung tính hoặc không rõ ràng về CTG,2025-04-13 22:14:05,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
CTG,neutral,-0.14,Văn bản có nội dung trung tính hoặc không rõ ràng về CTG,2025-04-13 22:14:06,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
CTG,neutral,0.19,Văn bản có nội dung trung tính hoặc không rõ ràng về CTG,2025-04-13 22:14:07,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
CTG,neutral,-0.17,Văn bản có nội dung trung tính hoặc không rõ ràng về CTG,2025-04-13 22:14:08,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
CTG,positive,0.75,Văn bản chứa nhiều từ khóa tích cực về CTG,2025-04-13 22:14:09,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
CTG,neutral,-0.15,Văn bản có nội dung trung tính hoặc không rõ ràng về CTG,2025-04-13 22:14:10,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
CTG,neutral,0.14,Văn bản có nội dung trung tính hoặc không rõ ràng về CTG,2025-04-13 22:14:11,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
CTG,positive,0.44,Văn bản chứa nhiều từ khóa tích cực về CTG,2025-04-13 22:14:12,Dữ liệu được tạo tự động do Gemini API không khả dụng,CTG: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
FPT,positive,0.35,Văn bản chứa nhiều từ khóa tích cực về FPT,2025-04-13 22:14:13,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
FPT,neutral,-0.04,Văn bản có nội dung trung tính hoặc không rõ ràng về FPT,2025-04-13 22:14:14,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
FPT,neutral,-0.02,Văn bản có nội dung trung tính hoặc không rõ ràng về FPT,2025-04-13 22:14:15,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
FPT,neutral,-0.17,Văn bản có nội dung trung tính hoặc không rõ ràng về FPT,2025-04-13 22:14:16,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
FPT,neutral,-0.11,Văn bản có nội dung trung tính hoặc không rõ ràng về FPT,2025-04-13 22:14:17,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
FPT,neutral,0.11,Văn bản có nội dung trung tính hoặc không rõ ràng về FPT,2025-04-13 22:14:18,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
FPT,positive,0.43,Văn bản chứa nhiều từ khóa tích cực về FPT,2025-04-13 22:14:20,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
FPT,neutral,0.14,Văn bản có nội dung trung tính hoặc không rõ ràng về FPT,2025-04-13 22:14:21,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
FPT,neutral,-0.04,Văn bản có nội dung trung tính hoặc không rõ ràng về FPT,2025-04-13 22:14:22,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
FPT,positive,0.83,Văn bản chứa nhiều từ khóa tích cực về FPT,2025-04-13 22:14:23,Dữ liệu được tạo tự động do Gemini API không khả dụng,FPT: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
GAS,positive,0.77,Văn bản chứa nhiều từ khóa tích cực về GAS,2025-04-13 22:14:24,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
GAS,neutral,-0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về GAS,2025-04-13 22:14:25,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
GAS,neutral,0.09,Văn bản có nội dung trung tính hoặc không rõ ràng về GAS,2025-04-13 22:14:26,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
GAS,neutral,0.17,Văn bản có nội dung trung tính hoặc không rõ ràng về GAS,2025-04-13 22:14:27,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
GAS,neutral,0.11,Văn bản có nội dung trung tính hoặc không rõ ràng về GAS,2025-04-13 22:14:28,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
GAS,neutral,0.01,Văn bản có nội dung trung tính hoặc không rõ ràng về GAS,2025-04-13 22:14:29,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
GAS,positive,0.49,Văn bản chứa nhiều từ khóa tích cực về GAS,2025-04-13 22:14:30,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
GAS,neutral,-0.19,Văn bản có nội dung trung tính hoặc không rõ ràng về GAS,2025-04-13 22:14:31,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
GAS,neutral,-0.14,Văn bản có nội dung trung tính hoặc không rõ ràng về GAS,2025-04-13 22:14:32,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
GAS,positive,0.34,Văn bản chứa nhiều từ khóa tích cực về GAS,2025-04-13 22:14:33,Dữ liệu được tạo tự động do Gemini API không khả dụng,GAS: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
GVR,positive,0.51,Văn bản chứa nhiều từ khóa tích cực về GVR,2025-04-13 22:14:34,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
GVR,neutral,0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về GVR,2025-04-13 22:14:35,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
GVR,neutral,0.07,Văn bản có nội dung trung tính hoặc không rõ ràng về GVR,2025-04-13 22:14:36,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
GVR,neutral,-0.06,Văn bản có nội dung trung tính hoặc không rõ ràng về GVR,2025-04-13 22:14:37,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
GVR,neutral,0.17,Văn bản có nội dung trung tính hoặc không rõ ràng về GVR,2025-04-13 22:14:38,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
GVR,neutral,0.0,Văn bản có nội dung trung tính hoặc không rõ ràng về GVR,2025-04-13 22:14:39,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
GVR,positive,0.7,Văn bản chứa nhiều từ khóa tích cực về GVR,2025-04-13 22:14:40,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
GVR,neutral,-0.05,Văn bản có nội dung trung tính hoặc không rõ ràng về GVR,2025-04-13 22:14:41,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
GVR,neutral,0.05,Văn bản có nội dung trung tính hoặc không rõ ràng về GVR,2025-04-13 22:14:43,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
GVR,positive,0.67,Văn bản chứa nhiều từ khóa tích cực về GVR,2025-04-13 22:14:44,Dữ liệu được tạo tự động do Gemini API không khả dụng,GVR: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
HDB,positive,0.62,Văn bản chứa nhiều từ khóa tích cực về HDB,2025-04-13 22:14:45,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
HDB,neutral,-0.05,Văn bản có nội dung trung tính hoặc không rõ ràng về HDB,2025-04-13 22:14:46,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
HDB,neutral,-0.17,Văn bản có nội dung trung tính hoặc không rõ ràng về HDB,2025-04-13 22:14:47,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
HDB,neutral,0.15,Văn bản có nội dung trung tính hoặc không rõ ràng về HDB,2025-04-13 22:14:48,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
HDB,neutral,0.14,Văn bản có nội dung trung tính hoặc không rõ ràng về HDB,2025-04-13 22:14:49,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
HDB,neutral,0.09,Văn bản có nội dung trung tính hoặc không rõ ràng về HDB,2025-04-13 22:14:50,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
HDB,positive,0.67,Văn bản chứa nhiều từ khóa tích cực về HDB,2025-04-13 22:14:51,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
HDB,neutral,-0.19,Văn bản có nội dung trung tính hoặc không rõ ràng về HDB,2025-04-13 22:14:52,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
HDB,neutral,-0.1,Văn bản có nội dung trung tính hoặc không rõ ràng về HDB,2025-04-13 22:14:53,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
HDB,positive,0.71,Văn bản chứa nhiều từ khóa tích cực về HDB,2025-04-13 22:14:54,Dữ liệu được tạo tự động do Gemini API không khả dụng,HDB: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
HPG,positive,0.53,Văn bản chứa nhiều từ khóa tích cực về HPG,2025-04-13 22:14:55,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
HPG,neutral,0.02,Văn bản có nội dung trung tính hoặc không rõ ràng về HPG,2025-04-13 22:14:56,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
HPG,neutral,0.14,Văn bản có nội dung trung tính hoặc không rõ ràng về HPG,2025-04-13 22:14:57,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
HPG,neutral,-0.05,Văn bản có nội dung trung tính hoặc không rõ ràng về HPG,2025-04-13 22:14:58,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
HPG,neutral,-0.01,Văn bản có nội dung trung tính hoặc không rõ ràng về HPG,2025-04-13 22:14:59,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
HPG,neutral,-0.01,Văn bản có nội dung trung tính hoặc không rõ ràng về HPG,2025-04-13 22:15:00,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
HPG,positive,0.88,Văn bản chứa nhiều từ khóa tích cực về HPG,2025-04-13 22:15:01,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
HPG,neutral,0.15,Văn bản có nội dung trung tính hoặc không rõ ràng về HPG,2025-04-13 22:15:02,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
HPG,neutral,-0.19,Văn bản có nội dung trung tính hoặc không rõ ràng về HPG,2025-04-13 22:15:03,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
HPG,positive,0.46,Văn bản chứa nhiều từ khóa tích cực về HPG,2025-04-13 22:15:04,Dữ liệu được tạo tự động do Gemini API không khả dụng,HPG: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
LPB,positive,0.86,Văn bản chứa nhiều từ khóa tích cực về LPB,2025-04-13 22:15:06,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
LPB,neutral,-0.19,Văn bản có nội dung trung tính hoặc không rõ ràng về LPB,2025-04-13 22:15:07,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
LPB,neutral,-0.12,Văn bản có nội dung trung tính hoặc không rõ ràng về LPB,2025-04-13 22:15:08,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
LPB,neutral,0.1,Văn bản có nội dung trung tính hoặc không rõ ràng về LPB,2025-04-13 22:15:09,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
LPB,neutral,0.15,Văn bản có nội dung trung tính hoặc không rõ ràng về LPB,2025-04-13 22:15:10,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
LPB,neutral,-0.18,Văn bản có nội dung trung tính hoặc không rõ ràng về LPB,2025-04-13 22:15:11,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
LPB,positive,0.79,Văn bản chứa nhiều từ khóa tích cực về LPB,2025-04-13 22:15:12,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
LPB,neutral,-0.11,Văn bản có nội dung trung tính hoặc không rõ ràng về LPB,2025-04-13 22:15:13,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
LPB,neutral,0.06,Văn bản có nội dung trung tính hoặc không rõ ràng về LPB,2025-04-13 22:15:14,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
LPB,positive,0.39,Văn bản chứa nhiều từ khóa tích cực về LPB,2025-04-13 22:15:15,Dữ liệu được tạo tự động do Gemini API không khả dụng,LPB: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
MBB,positive,0.9,Văn bản chứa nhiều từ khóa tích cực về MBB,2025-04-13 22:15:16,Dữ liệu được tạo tự động do Gemini API không khả dụng,MBB: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
MBB,neutral,-0.07,Văn bản có nội dung trung tính hoặc không rõ ràng về MBB,2025-04-13 22:15:17,Dữ liệu được tạo tự động do Gemini API không khả dụng,MBB: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
MBB,neutral,0.18,Văn bản có nội dung trung tính hoặc không rõ ràng về MBB,2025-04-13 22:15:18,Dữ liệu được tạo tự động do Gemini API không khả dụng,MBB: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
MBB,neutral,0.09,Văn bản có nội dung trung tính hoặc không rõ ràng về MBB,2025-04-13 22:15:19,Dữ liệu được tạo tự động do Gemini API không khả dụng,MBB: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
